1: AFG
2: AGO
3: ALB
4: ARM
5: AZE
6: BDI
7: BEN
8: BFA
9: BGD
10: BIH
11: BLR
12: BLZ
13: BOL
14: BTN
15: CAF
16: CHN
17: CIV
18: CMR
19: COD
20: COG
21: COL
22: COM
23: CPV
24: CUB
25: DJI
26: DZA
27: ECU
28: EGY
29: ERI
30: ETH
31: FJI
32: FSM
33: GEO
34: GHA
35: GIN
36: GMB
37: GNB
38: GTM
39: GUY
40: HND
41: HTI
42: IDN
43: IND
44: IRN
45: IRQ
46: JAM
47: JOR
48: KEN
49: KGZ
50: KHM
51: KIR
52: LAO
53: LBR
54: LKA
55: LSO
56: MAR
57: MDA
58: MDG
59: MHL
60: MKD
61: MLI
62: MMR
63: MNG
64: MOZ
65: MRT
66: MWI
67: NAM
68: NER
69: NGA
70: NIC
71: NPL
72: PAK
73: PER
74: PHL
75: PNG
76: PRK
77: PRY
78: RWA
79: SDN
80: SEN
81: SLB
82: SLE
83: SLV
84: SOM
85: SRB
86: SSD
87: STP
88: SWZ
89: SYR
90: TCD
91: TGO
92: THA
93: TJK
94: TKM
95: TLS
96: TON
97: TUN
98: TUV
99: TZA
100: UGA
101: UKR
102: UZB
103: VEN
104: VNM
105: VUT
106: WSM
107: YEM
108: ZAF
109: ZMB
110: ZWE

